Member_number,Date,itemDescription,Locations
1808,21-07-2015,Aveeno $1/1 produc,Santa Clara
2552,5/1/2015,Axe Body Spray Product,
2300,19-09-2015,Axe Hair Care Product,San Francisco
1187,12/12/2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Mateo
3037,1/2/2015,Barabsol $.50/1 10oz shaving cream,Sunnyvale
4941,14-02-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
4501,8/5/2015,Barilla $1/2 Sauce,Santa Clara
3803,23-12-2015,Bausch+Lomb $1/1,San Jose
2762,20-03-2015,Beefsteak 18 oz. breadÿ,Los Gatos
4119,12/2/2015,Best Foods $1/1 mayonnaise squeeze,
1340,24-02-2015,Axe Hair Care Product,Santa Clara
2193,14-04-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,
1997,21-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag,Palo Alto
4546,3/9/2015,Bounty/Charmin $.50/1ÿ,Sunnyvale
4736,21-07-2015,Brita $4/1 pitcher filter,Oakland
1959,30-03-2015,Cadbury/Reese's $1/3 Eggs multipacks,Calistoga
1974,3/5/2015,Cerave Baby Product $4/1,San Francisco
2421,2/9/2015,Cesar dry dog food $2/1 TARGET,
1513,3/8/2015,Chobani $1/3 5.3 oz Flip Greek Yogurt,Pleasanton
1905,7/7/2015,Claritin $2/1 children's,Redwood City
2810,8/9/2015,Clorox/Pine-Sol $1.50/2 productsÿ,San Jose
2867,12/11/2015,Coppertone lotion $3/1,Milpitas
3962,18-09-2015,Covergirl $1/1 product accessories,Santa Clara
1088,30-11-2015,Danimials $1/ Two Smoothie 6 packs,Sunnyvale
4976,17-07-2015,Dark and Lovely $2/1 haircolor or relaxer,
4056,12/6/2015,Degree Women $2/1 dry spray antiperspirant product,
3611,13-02-2015,Dinty Moore $1/2ÿ,
1420,14-01-2015,Dove Clinical Protection Deodorant Product,Saratoga
4286,8/3/2015,Dunkin Donuts $1/2 creamers,
4918,27-01-2015,Farm Rich Bakery item 9.5 oz,San Carlos
4783,22-10-2015,Fiber One $.50/2 chewy bars,
3709,26-10-2015,Indiana Kitchen Baconÿ,Redwood City
4289,8/10/2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Francisco
1559,3/10/2015,L'Oreal $2/1 skincare product ets,Sunnyvale
2900,11/4/2015,Megared $1/1 product,San Pablo
1905,21-02-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",
3527,29-09-2015,Mitchum antiperspirant/deodorant prod,Pebble Beach
1495,9/1/2015,L'Oreal $2/1 skincare product ets,
3558,3/4/2015,Farm Rich Bakery item 9.5 oz,San Jose
3128,20-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Jose
1863,4/8/2015,Coppertone lotion $3/1,Santa Clara
3841,19-07-2015,Dunkin Donuts $1/2 creamers,San Jose
3903,6/10/2015,Farm Rich Bakery item 9.5 oz,
2658,16-10-2015,Coppertone lotion $3/1,Campbell
4272,6/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag,Lotus
1120,26-09-2015,Barabsol $.50/1 10oz shaving cream,Santa Clara
2676,15-08-2015,Axe Hair Care Product,San Leandro
1697,21-05-2015,Barilla $1/2 Sauce,Tracy
2507,25-08-2015,Best Foods $1/1 mayonnaise squeeze,Milpitas
4620,11/3/2015,Best Foods $1/1 mayonnaise squeeze,Woodland
3365,1/2/2015,Dinty Moore $1/2ÿ,Pleasanton
2978,5/6/2015,Megared $1/1 product,
2910,28-07-2015,Dinty Moore $1/2ÿ,San Jose
1061,5/9/2015,Dove Clinical Protection Deodorant Product,San Jose
3276,3/4/2015,Dunkin Donuts $1/2 creamers,San Jose
1326,19-06-2015,Farm Rich Bakery item 9.5 oz,
3023,28-07-2015,Fiber One $.50/2 chewy bars,San Mateo
2185,11/10/2015,Indiana Kitchen Baconÿ,Pleasanton
3552,16-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Jose
1967,20-01-2015,L'Oreal $2/1 skincare product ets,San Jose
4708,20-03-2015,Megared $1/1 product,San Jose
2874,15-02-2015,"Maybelline New York $2/1 brow, shadow or liner productÿ",Palo Alto
4177,13-04-2015,Mitchum antiperspirant/deodorant prod,Santa Clara
1663,7/2/2015,L'Oreal $2/1 skincare product ets,Mountain View
2632,2/3/2015,Farm Rich Bakery item 9.5 oz,Las Vegas
1377,14-03-2015,Irish Spring $1.00/1 bar soap multipack 6ct or largerÿ,San Francisco
4162,22-12-2015,Coppertone lotion $3/1,Klamath Falls
2270,1/7/2015,Dunkin Donuts $1/2 creamers,
4829,3/11/2015,Farm Rich Bakery item 9.5 oz,Morgan Hill
3811,14-04-2015,Coppertone lotion $3/1,San Jose
4766,29-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
2436,12/4/2015,Barabsol $.50/1 10oz shaving cream,
3860,5/5/2015,Axe Hair Care Product,Woodland
4875,12/5/2015,Barilla $1/2 Sauce,
1587,1/7/2015,Best Foods $1/1 mayonnaise squeeze,
4038,8/7/2015,Best Foods $1/1 mayonnaise squeeze,Palo Alto
4750,21-09-2015,Dinty Moore $1/2ÿ,San Jose
1199,10/12/2015,Megared $1/1 product,San Carlos
1603,30-09-2015,Aveeno $1/1 produc,Milpitas
3111,31-01-2015,Axe Body Spray Product,Campbell
3894,13-12-2015,Axe Hair Care Product,
1456,18-09-2015,Ban $1/1 roll-on antiperspirant deodorantÿ,San Jose
2022,4/3/2015,Barabsol $.50/1 10oz shaving cream,San Pablo
2505,30-11-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
4851,20-12-2015,Barilla $1/2 Sauce,Los Gatos
4293,4/8/2015,Bausch+Lomb $1/1,
2775,6/11/2015,Beefsteak 18 oz. breadÿ,San Jose
3693,18-02-2015,Best Foods $1/1 mayonnaise squeeze,San Carlos
1202,22-07-2015,Axe Hair Care Product,
3699,23-08-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor,San Jose
4152,15-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag,San Jose
4155,26-01-2015,Bounty/Charmin $.50/1ÿ,Mountain View
4010,29-12-2015,Coppertone lotion $3/1,San Jose
4389,20-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag,
3746,17-08-2015,Barabsol $.50/1 10oz shaving cream,San Jose
2560,17-05-2015,Axe Hair Care Product,San Francisco
1503,25-07-2015,Barilla $1/2 Sauce,San Jose
2555,23-12-2015,Best Foods $1/1 mayonnaise squeeze,Santa Clara
3645,12/12/2015,Best Foods $1/1 mayonnaise squeeze,San Francisco
3886,11/9/2015,Dinty Moore $1/2ÿ,Hollister
